dataset_label,dataset_session,dataset_row_index,dataset_manual_lap_count,dataset_manual_lap_marked,dataset_manual_lap_mark_at_ms,dataset_manual_lap_mark_age_ms,timestamp_unix_ms,uptime_ms,state,local_mode,local_mode_candidate,ai_source,ai_track_mode,line_pos,line_lost,lost_ms,balance_lr,confidence_fast,confidence_avg,sensor_sum,sensor_max,norm0,norm1,norm2,norm3,raw0,raw1,raw2,raw3,pos_norm,trend_pos,trend_pos_avg,curve_intensity,pid_error,pid_integral,pid_d_filt,pid_correction,motor_a_pwm,motor_b_pwm,base_eff,ai_confidence,ai_blend,ai_speed_factor,ai_kp_scale,ai_ki_scale,ai_kd_scale,ai_pivot_threshold,ai_pivot_cap,ai_recovery_bias,dominant_sensor,dataset_label_age_ms,dataset_label_set_at_ms,dataset_label_source,dataset_label_valid,drive_profile,intersection_active,intersection_score,last_dir,run_elapsed_ms,run_intersection_count,run_lap_estimate,seq_fast,seq_slow,timestamp_valid
curve,session_20260423_145902,39,,,,,1776977948000,297333,running,right_hard,right_hard,heuristic,right_hard,1027,0,0,0.909148,0.89345,0.89345,1607,954,33,40,580,954,0,0,0,0,0.684667,-0.021333,-0.029111,0.417298,0.684667,8.347116e-06,-8.685778,-1.25,-60,96,43,0.785508,0.58,0,0,0,0,0,0,0.35366,right_outer,0,0,auto:ai_track_mode,1,normal,0,0.155032,right,5752,4,0,2190,0,1
curve,session_20260423_145902,40,,,,,1776977949000,297585,running,right_hard,right_hard,heuristic,right_hard,1021,0,0,0.9482,0.907925,0.907925,1583,875,8,33,667,875,0,0,0,0,0.680667,0.014,0.001444,0.023307,0.680667,0.005524,0.49602,0.491223,79,60,53,0.842322,0.58,0,0,0,0,0,0,0.383249,right_outer,0,0,auto:ai_track_mode,1,normal,0,0.157499,right,6003,4,0,2191,0,1
curve,session_20260423_145902,41,,,,,1776977949000,297835,running,right_hard,right_hard,heuristic,right_hard,915,0,0,0.928136,0.887103,0.887103,1642,836,6,53,836,747,0,0,0,0,0.61,-0.006667,-0.005444,0.184291,0.61,0.02941,-4.280608,-1.25,-60,114,51,0.859891,0.58,0,0,0,0,0,0,0.379929,right_inner,0,0,auto:ai_track_mode,1,normal,0,0.169348,right,6253,4,0,2192,0,1
curve,session_20260423_145902,42,,,,,1776977949000,298085,running,straight,straight,heuristic,right_hard,31,0,0,0.023864,0.936006,0.936006,1760,851,15,844,851,50,0,0,0,0,0.020667,0.000667,-0.016111,0.141629,0.020667,0.034771,-2.574051,-1.05712,0,166,81,0.851401,0.58,0,0,0,0,0,0,0.378504,right_inner,0,0,auto:ai_track_mode,1,normal,0,0.298843,right,6504,4,0,2193,0,1
curve,session_20260423_145902,43,,,,,1776977949000,298334,running,left_hard,left_hard,heuristic,left_hard,-899,0,0,-0.882061,0.973325,0.973325,2018,973,973,926,71,48,0,0,0,0,-0.599333,-0.005333,0.000222,0.004194,-0.599333,0.014164,0.091513,-0.1934,60,70,59,0.887177,0.58,0,0,0,0,0,0,-0.35873,left_outer,0,0,auto:ai_track_mode,1,normal,0,0.237762,left,6753,4,0,2194,0,1
curve,session_20260423_145902,44,,,,,1776977950000,298584,running,left_hard,left_hard,heuristic,left_hard,-1303,0,0,-0.865757,0.744192,0.744192,879,797,797,23,27,32,0,0,0,0,-0.868667,0.002667,0.005333,0.050747,-0.868667,-0.000228,0.948687,0.071917,60,60,44,0.713443,0.58,0,0,0,0,0,0,-0.354759,left_outer,0,0,auto:ai_track_mode,1,normal,0,0.109537,left,7003,4,0,2195,0,1
curve,session_20260423_145902,45,,,,,1776977950000,298834,running,left_hard,left_hard,heuristic,left_hard,-1245,0,0,-0.880702,0.866778,0.866778,1140,951,951,121,35,33,0,0,0,0,-0.83,-0.018,-0.014889,0.2905,-0.83,-8.08233e-07,-6.36918,-1.25,-60,92,41,0.830526,0.58,0,0,0,0,0,0,-0.374912,left_outer,0,0,auto:ai_track_mode,1,normal,0,0.130041,left,7253,4,0,2196,0,1
curve,session_20260423_145902,46,,,,,1776977950000,299086,running,left_hard,left_hard,heuristic,left_hard,-1061,0,0,-0.93188,0.906092,0.906092,1468,900,900,518,25,25,0,0,0,0,-0.707333,0.002667,-0.003778,0.085555,-0.707333,-0.023169,-1.912202,-1.1256,-60,106,50,0.85238,0.58,0,0,0,0,0,0,-0.380601,left_outer,0,0,auto:ai_track_mode,1,normal,0,0.147835,left,7504,4,0,2197,0,1
curve,session_20260423_145902,47,,,,,1776977950000,299336,running,left_hard,left_hard,heuristic,left_hard,-1327,0,0,-0.89899,0.762136,0.762136,990,898,898,42,21,29,0,0,0,0,-0.884667,0.002,0.002889,0.03122,-0.884667,-0.006391,0.607173,-0.085021,60,60,44,0.821955,0.58,0,0,0,0,0,0,-0.383876,left_outer,0,0,auto:ai_track_mode,1,normal,0,0.12244,left,7755,4,0,2198,0,1
curve,session_20260423_145902,48,,,,,1776977951000,299586,running,left_hard,left_hard,heuristic,left_hard,-1016,0,0,-0.677419,0.441606,0.441606,279,212,212,22,22,23,0,0,0,0,-0.677333,0.054,0.028778,0.422875,-0.677333,-3.4e-05,8.8452,1.25,90,-60,40,0.577801,0.58,0,0,0,0,0,0,-0.303484,left_outer,0,0,auto:ai_track_mode,1,normal,0,0.030221,left,8005,4,0,2199,0,1
